id,CT,MinHar3
429267852,+20*25-12*25-13*22,1.272050785424136
1585261938,-8*13*24*30*32/16,1.2715367579788723
1541364625,+17*20*20*30/12/21,1.271361950541971
415362090,+17*26-5*23-12*27,1.2712387660419109
1600078698,-17*19*24*24*29/1,1.2711755476847186
1550152538,-0*12*17*24*29/1,1.2711755476847186
1599016215,-16*17*18*24*29/1,1.2711755476847186
1572166918,-4*17*24*29/1/14,1.2711755476847186
1572130023,-4*17*20*29/1/12,1.2711755476847186
100301018,+10+20-4-9-12-31,1.2711119007740894
1511976489,+4*10*13*33/19/21,1.2708222670551534
1207836610,+26*28/21-9*13/22,1.2707529467531464
559737528,+1*3/10-9*19/10,1.270661739037818
1502634321,+2*10*24*27*30/1,1.270341172096845
1585312100,-8*14*14*24*32*33,1.270166184427832
1555041384,-1*8*8*32/11/31,1.2700577333284002
1202945290,+25*31/12-1*1/27,1.2699980947443583
416898843,+17*31-4*17-8*19,1.2699926920489248
1039030792,+14*17*32-2*8*32,1.269835836821549
1505882175,+3*5*16*20*31/12,1.2697685433359238
560963860,+1*4*20-2*10*16,1.2694498549000015
1493178256,+1*1*6*7/28/29,1.2693333818005534
141726079,+20+30-1-3-22-22,1.2692167530142024
1537520779,+13*24*24*26/0/1,1.2691973640013436
1517235001,+5*16*18*20*31/2,1.2691337340999005
100273872,+10+20+34-9-12-27,1.2689689635653385
1514677963,+5*6*10*24*26/13,1.268794827073208
1148058351,+20*25/12-23*28/1,1.2687839889896226
588553112,+1*20/25+20*21/25,1.2687206431318157
1148051542,+20*25/12-11*32/1,1.268677279114904
416843077,+17*31-1*8-24*28,1.2686599233389355
194302710,+1*4+11*23-16*25,1.2683587786259545
194308275,+1*4+11*29-22*22,1.2683587786259545
387225238,+13*23+25*32-9*25,1.2683587786259545
446006750,+25*32+28*31-9*25,1.2683587786259545
529053652,+0*17/10+3*17/22,1.2683587786259545
540972916,+0*25*25-2*12*25,1.2683587786259545
666270589,+3*7/6+17*25/22,1.2683587786259545
746745708,+4*32/11-4*13/10,1.2683587786259545
984877663,+11*33/0-9*25/34,1.2683587786259545
100318273,+10+20-9-12-28-32,1.268144001481402
1543331006,+20*24*29*32*33/10,1.2679585670262088
1551067812,-0*17*28*30*32/13,1.2678746983709053
1505012878,+3*3*17*25/4/21,1.2677686517258526
1508709106,+3*16*17*33/4/21,1.2677686517258526
1508848050,+3*17*18*30/4/21,1.2677686517258526
1508858078,+3*17*19*26/4/21,1.2677686517258526
1583832528,-8*8*12*17*32/30,1.2677568952892362
326060417,+7*32+25*32-9*25,1.2677568952892362
324322096,+7*29+10*32-9*25,1.2677568952892362
324699870,+7*29-9*25-17*29,1.2677568952892362
1595776159,-13*17*25*32*33/28,1.2677568952892362
1584055483,-8*8*32*33/12/34,1.2677568952892362
